rank,championId,championName,winRate,pickRate,banRate,counter1Id,counter1Name,counter2Id,counter2Name,counter3Id,counter3Name
1,senna,Senna,53.12,14.11,39.65,seraphine,Seraphine,swain,Swain,hwei,Hwei
2,jinx,Jinx,52.2,8.73,1.27,seraphine,Seraphine,nilah,Nilah,hwei,Hwei
3,ashe,Ashe,50.97,11.84,13.6,swain,Swain,xerath,Xerath,kogmaw,Kog'Maw
4,jhin,Jhin,49.58,18.55,1.27,hwei,Hwei,teemo,Teemo,nilah,Nilah
5,tristana,Tristana,50.98,7.81,3.91,syndra,Syndra,teemo,Teemo,swain,Swain
6,ziggs,Ziggs,51.91,4.54,1.77,teemo,Teemo,nilah,Nilah,samira,Samira
7,kaisa,Kai'Sa,49.13,17.79,1.22,nilah,Nilah,teemo,Teemo,hwei,Hwei
8,xerath,Xerath,52.68,2.35,10.14,zeri,Zeri,swain,Swain,jinx,Jinx
9,caitlyn,Caitlyn,48.96,15.37,12.02,hwei,Hwei,xerath,Xerath,seraphine,Seraphine
10,lucian,Lucian,49.66,10.89,5.62,senna,Senna,swain,Swain,aphelios,Aphelios
11,xayah,Xayah,51.67,3.82,0.46,seraphine,Seraphine,velkoz,Vel'Koz,xerath,Xerath
12,seraphine,Seraphine,53.16,1.28,6.36,zeri,Zeri,tristana,Tristana,teemo,Teemo
13,ezreal,Ezreal,47.16,22.71,12.38,seraphine,Seraphine,senna,Senna,swain,Swain
14,sivir,Sivir,50.22,5.6,3.87,ashe,Ashe,senna,Senna,nilah,Nilah
15,aphelios,Aphelios,48.89,10.59,3.68,velkoz,Vel'Koz,kogmaw,Kog'Maw,samira,Samira
16,zeri,Zeri,50.42,4.01,0.36,nilah,Nilah,kogmaw,Kog'Maw,velkoz,Vel'Koz
17,samira,Samira,51.26,2.5,1.2,swain,Swain,corki,Corki,velkoz,Vel'Koz
18,missfortune,Miss Fortune,49.98,4.55,0.7,kogmaw,Kog'Maw,seraphine,Seraphine,xerath,Xerath
19,kogmaw,Kog'Maw,52.63,1.05,0.09,sivir,Sivir,twitch,Twitch,ziggs,Ziggs
20,yunara,Yunara,49.01,6.45,1.22,seraphine,Seraphine,xerath,Xerath,tristana,Tristana
21,nilah,Nilah,53.13,0.63,0.31,vayne,Vayne,missfortune,Miss Fortune,xayah,Xayah
22,draven,Draven,50.51,1.96,4.04,kogmaw,Kog'Maw,syndra,Syndra,xerath,Xerath
23,swain,Swain,51.94,0.82,0.71,smolder,Smolder,seraphine,Seraphine,zeri,Zeri
24,syndra,Syndra,51.4,1.02,3.5,senna,Senna,hwei,Hwei,xerath,Xerath
25,teemo,Teemo,51.16,1.0,9.07,senna,Senna,xerath,Xerath,xayah,Xayah
26,hwei,Hwei,52.21,0.58,2.18,lucian,Lucian,missfortune,Miss Fortune,xayah,Xayah
27,twitch,Twitch,50.24,1.52,0.5,teemo,Teemo,senna,Senna,mel,Mel
28,smolder,Smolder,49.49,2.18,0.85,nilah,Nilah,ashe,Ashe,teemo,Teemo
29,kalista,Kalista,49.22,1.83,0.24,draven,Draven,nilah,Nilah,xerath,Xerath
30,vayne,Vayne,49.01,1.49,9.57,twitch,Twitch,draven,Draven,swain,Swain
31,velkoz,Vel'Koz,50.27,0.76,0.5,seraphine,Seraphine,xerath,Xerath,ziggs,Ziggs
32,varus,Varus,47.68,2.74,2.52,xayah,Xayah,nilah,Nilah,samira,Samira
33,mel,Mel,46.75,3.33,14.44,swain,Swain,hwei,Hwei,nilah,Nilah
34,corki,Corki,49.38,0.76,0.05,caitlyn,Caitlyn,lucian,Lucian,zeri,Zeri
