rank,championId,championName,winRate,pickRate,banRate,counter1Id,counter1Name,counter2Id,counter2Name,counter3Id,counter3Name
1,locke,Locke,50.03,7.18,72.7,veigar,Veigar,tristana,Tristana,katarina,Katarina
2,sylas,Sylas,50.43,10.94,27.7,naafiri,Naafiri,taliyah,Taliyah,vex,Vex
3,twistedfate,Twisted Fate,51.47,8.5,2.44,nunu,Nunu & Willump,malphite,Malphite,annie,Annie
4,katarina,Katarina,52.4,4.98,4.01,ekko,Ekko,galio,Galio,lissandra,Lissandra
5,viktor,Viktor,49.51,14.73,23.69,pantheon,Pantheon,annie,Annie,twistedfate,Twisted Fate
6,lissandra,Lissandra,51.6,5.3,1.48,sion,Sion,aurelionsol,Aurelion Sol,zoe,Zoe
7,syndra,Syndra,50.8,7.4,3.45,qiyana,Qiyana,malphite,Malphite,katarina,Katarina
8,xerath,Xerath,51.03,5.29,9.82,nunu,Nunu & Willump,katarina,Katarina,swain,Swain
9,vex,Vex,52.06,3.19,3.25,anivia,Anivia,taliyah,Taliyah,nunu,Nunu & Willump
10,zed,Zed,50.61,5.83,16.76,malphite,Malphite,annie,Annie,pantheon,Pantheon
11,ahri,Ahri,50.38,7.29,1.22,veigar,Veigar,vladimir,Vladimir,talon,Talon
12,hwei,Hwei,50.98,5.26,2.2,fizz,Fizz,katarina,Katarina,lux,Lux
13,diana,Diana,50.98,4.46,2.1,sion,Sion,nunu,Nunu & Willump,talon,Talon
14,fizz,Fizz,51.08,4.23,2.8,nunu,Nunu & Willump,vex,Vex,annie,Annie
15,talon,Talon,51.06,3.62,2.34,lissandra,Lissandra,akshan,Akshan,nunu,Nunu & Willump
16,akali,Akali,49.3,7.9,19.5,swain,Swain,qiyana,Qiyana,annie,Annie
17,zoe,Zoe,51.14,3.34,7.05,katarina,Katarina,malzahar,Malzahar,sion,Sion
18,akshan,Akshan,51.93,2.05,0.83,nunu,Nunu & Willump,annie,Annie,veigar,Veigar
19,galio,Galio,49.6,6.49,2.76,zoe,Zoe,swain,Swain,naafiri,Naafiri
20,malzahar,Malzahar,50.64,3.64,1.78,lissandra,Lissandra,aurelionsol,Aurelion Sol,sion,Sion
21,leblanc,LeBlanc,49.37,5.38,27.5,naafiri,Naafiri,akshan,Akshan,katarina,Katarina
22,annie,Annie,51.6,1.99,0.46,qiyana,Qiyana,sion,Sion,aurora,Aurora
23,naafiri,Naafiri,51.09,1.51,33.64,taliyah,Taliyah,talon,Talon,qiyana,Qiyana
24,ekko,Ekko,51.24,1.79,0.5,leblanc,LeBlanc,sylas,Sylas,fizz,Fizz
25,vladimir,Vladimir,50.3,2.76,1.03,akshan,Akshan,orianna,Orianna,anivia,Anivia
26,pantheon,Pantheon,51.78,1.18,1.33,anivia,Anivia,orianna,Orianna,malzahar,Malzahar
27,irelia,Irelia,49.17,3.73,21.6,vex,Vex,malphite,Malphite,fizz,Fizz
28,qiyana,Qiyana,50.93,1.66,1.86,aurelionsol,Aurelion Sol,zoe,Zoe,akshan,Akshan
29,yasuo,Yasuo,48.53,5.47,9.85,lissandra,Lissandra,annie,Annie,taliyah,Taliyah
30,anivia,Anivia,50.02,2.69,2.66,brand,Brand,qiyana,Qiyana,aurelionsol,Aurelion Sol
31,yone,Yone,47.72,7.35,9.14,vex,Vex,annie,Annie,pantheon,Pantheon
32,veigar,Veigar,50.86,1.3,0.11,qiyana,Qiyana,lissandra,Lissandra,ekko,Ekko
33,aurora,Aurora,49.33,2.66,0.83,veigar,Veigar,aurelionsol,Aurelion Sol,ekko,Ekko
34,orianna,Orianna,48.6,3.56,0.89,veigar,Veigar,locke,Locke,kassadin,Kassadin
35,nunu,Nunu & Willump,50.77,0.99,1.21,irelia,Irelia,annie,Annie,naafiri,Naafiri
36,malphite,Malphite,50.58,0.76,14.61,locke,Locke,sylas,Sylas,hwei,Hwei
37,sion,Sion,50.04,1.1,1.34,cassiopeia,Cassiopeia,yone,Yone,aurelionsol,Aurelion Sol
38,kassadin,Kassadin,49.34,1.45,0.31,taliyah,Taliyah,yasuo,Yasuo,anivia,Anivia
39,lux,Lux,48.98,1.67,1.39,veigar,Veigar,vladimir,Vladimir,sion,Sion
40,cassiopeia,Cassiopeia,48.53,1.85,1.74,ekko,Ekko,qiyana,Qiyana,annie,Annie
41,aurelionsol,Aurelion Sol,49.44,0.9,0.08,cassiopeia,Cassiopeia,zed,Zed,yone,Yone
42,ryze,Ryze,46.14,4.81,1.13,naafiri,Naafiri,akshan,Akshan,brand,Brand
43,taliyah,Taliyah,48.48,1.39,0.28,ekko,Ekko,veigar,Veigar,talon,Talon
44,brand,Brand,49.52,0.57,0.76,annie,Annie,fizz,Fizz,aurora,Aurora
45,swain,Swain,48.04,0.59,0.7,orianna,Orianna,leblanc,LeBlanc,zed,Zed
46,mel,Mel,45.02,2.39,13.81,azir,Azir,aurelionsol,Aurelion Sol,pantheon,Pantheon
47,azir,Azir,45.52,1.63,0.15,naafiri,Naafiri,aurelionsol,Aurelion Sol,vex,Vex
48,tristana,Tristana,46.23,0.76,3.88,irelia,Irelia,zed,Zed,cassiopeia,Cassiopeia
