championId,championName,targetChampionId,targetChampionName,laneKillRate,targetLaneKillRate,url
ahri,Ahri,aurelionsol,Aurelion Sol,63.2,36.8,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=aurelionsol
ahri,Ahri,yone,Yone,61.66,38.34,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=yone
ahri,Ahri,sion,Sion,61.13,38.87,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=sion
ahri,Ahri,swain,Swain,60.06,39.94,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=swain
ahri,Ahri,azir,Azir,59.49,40.51,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=azir
ahri,Ahri,malzahar,Malzahar,59.35,40.65,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=malzahar
ahri,Ahri,tristana,Tristana,59.15,40.85,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=tristana
ahri,Ahri,ryze,Ryze,57.54,42.46,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=ryze
ahri,Ahri,brand,Brand,57.53,42.47,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=brand
ahri,Ahri,twistedfate,Twisted Fate,57.07,42.93,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=twistedfate
ahri,Ahri,pantheon,Pantheon,56.96,43.04,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=pantheon
ahri,Ahri,cassiopeia,Cassiopeia,56.81,43.19,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=cassiopeia
ahri,Ahri,viktor,Viktor,56.72,43.28,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=viktor
ahri,Ahri,taliyah,Taliyah,56.67,43.33,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=taliyah
ahri,Ahri,kassadin,Kassadin,56.5,43.5,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=kassadin
ahri,Ahri,nunu,Nunu & Willump,55.11,44.89,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=nunu
ahri,Ahri,yasuo,Yasuo,54.67,45.33,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=yasuo
ahri,Ahri,hwei,Hwei,54.19,45.81,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=hwei
ahri,Ahri,malphite,Malphite,54.05,45.95,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=malphite
ahri,Ahri,irelia,Irelia,54.04,45.96,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=irelia
ahri,Ahri,galio,Galio,53.94,46.06,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=galio
ahri,Ahri,orianna,Orianna,53.7,46.3,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=orianna
ahri,Ahri,akshan,Akshan,53.37,46.63,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=akshan
ahri,Ahri,annie,Annie,52.95,47.05,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=annie
ahri,Ahri,syndra,Syndra,52.93,47.07,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=syndra
ahri,Ahri,veigar,Veigar,52.25,47.75,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=veigar
ahri,Ahri,sylas,Sylas,51.97,48.03,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=sylas
ahri,Ahri,vladimir,Vladimir,51.8,48.2,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=vladimir
ahri,Ahri,ekko,Ekko,50.92,49.08,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=ekko
ahri,Ahri,vex,Vex,50.63,49.37,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=vex
ahri,Ahri,akali,Akali,50.52,49.48,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=akali
ahri,Ahri,xerath,Xerath,49.45,50.55,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=xerath
ahri,Ahri,diana,Diana,49.29,50.71,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=diana
ahri,Ahri,naafiri,Naafiri,49.2,50.8,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=naafiri
ahri,Ahri,lux,Lux,49.19,50.81,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=lux
ahri,Ahri,anivia,Anivia,49.18,50.82,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=anivia
ahri,Ahri,talon,Talon,48.58,51.42,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=talon
ahri,Ahri,fizz,Fizz,47.53,52.47,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=fizz
ahri,Ahri,katarina,Katarina,47.07,52.93,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=katarina
ahri,Ahri,zed,Zed,46.9,53.1,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=zed
ahri,Ahri,lissandra,Lissandra,46.78,53.22,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=lissandra
ahri,Ahri,aurora,Aurora,46.22,53.78,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=aurora
ahri,Ahri,locke,Locke,44.26,55.74,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=locke
ahri,Ahri,zoe,Zoe,44.21,55.79,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=zoe
ahri,Ahri,qiyana,Qiyana,42.46,57.54,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=qiyana
ahri,Ahri,mel,Mel,40.08,59.92,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=mel
ahri,Ahri,leblanc,LeBlanc,39.16,60.84,https://www.op.gg/champions/ahri/counters/mid?region=kr&tier=emerald_plus&target_champion=leblanc
akali,Akali,irelia,Irelia,59.91,40.09,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=irelia
akali,Akali,yone,Yone,59.81,40.19,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=yone
akali,Akali,viktor,Viktor,58.5,41.5,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=viktor
akali,Akali,kassadin,Kassadin,57.67,42.33,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=kassadin
akali,Akali,brand,Brand,57.27,42.73,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=brand
akali,Akali,yasuo,Yasuo,57.2,42.8,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=yasuo
akali,Akali,taliyah,Taliyah,56.96,43.04,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=taliyah
akali,Akali,hwei,Hwei,56.67,43.33,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=hwei
akali,Akali,syndra,Syndra,56.4,43.6,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=syndra
akali,Akali,aurelionsol,Aurelion Sol,56.29,43.71,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=aurelionsol
akali,Akali,cassiopeia,Cassiopeia,55.97,44.03,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=cassiopeia
akali,Akali,malzahar,Malzahar,55.61,44.39,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=malzahar
akali,Akali,sylas,Sylas,55.6,44.4,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=sylas
akali,Akali,sion,Sion,55.14,44.86,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=sion
akali,Akali,xerath,Xerath,54.9,45.1,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=xerath
akali,Akali,annie,Annie,54.73,45.27,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=annie
akali,Akali,ekko,Ekko,54.43,45.57,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=ekko
akali,Akali,ryze,Ryze,54.25,45.75,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=ryze
akali,Akali,nunu,Nunu & Willump,54.05,45.95,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=nunu
akali,Akali,veigar,Veigar,53.88,46.12,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=veigar
akali,Akali,mel,Mel,53.88,46.12,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=mel
akali,Akali,akshan,Akshan,53.77,46.23,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=akshan
akali,Akali,vladimir,Vladimir,53.6,46.4,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=vladimir
akali,Akali,fizz,Fizz,52.78,47.22,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=fizz
akali,Akali,twistedfate,Twisted Fate,52.38,47.62,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=twistedfate
akali,Akali,locke,Locke,52.15,47.85,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=locke
akali,Akali,diana,Diana,51.73,48.27,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=diana
akali,Akali,orianna,Orianna,51.3,48.7,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=orianna
akali,Akali,tristana,Tristana,51.24,48.76,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=tristana
akali,Akali,katarina,Katarina,51.09,48.91,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=katarina
akali,Akali,azir,Azir,51.05,48.95,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=azir
akali,Akali,naafiri,Naafiri,50.76,49.24,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=naafiri
akali,Akali,swain,Swain,50.54,49.46,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=swain
akali,Akali,ahri,Ahri,49.48,50.52,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=ahri
akali,Akali,talon,Talon,49.42,50.58,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=talon
akali,Akali,zed,Zed,49.3,50.7,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=zed
akali,Akali,malphite,Malphite,48.58,51.42,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=malphite
akali,Akali,zoe,Zoe,48.53,51.47,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=zoe
akali,Akali,pantheon,Pantheon,48.25,51.75,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=pantheon
akali,Akali,aurora,Aurora,47.33,52.67,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=aurora
akali,Akali,anivia,Anivia,46.73,53.27,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=anivia
akali,Akali,lux,Lux,46.13,53.87,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=lux
akali,Akali,vex,Vex,45.86,54.14,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=vex
akali,Akali,galio,Galio,45.53,54.47,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=galio
akali,Akali,lissandra,Lissandra,45.24,54.76,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=lissandra
akali,Akali,qiyana,Qiyana,43.73,56.27,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=qiyana
akali,Akali,leblanc,LeBlanc,41.02,58.98,https://www.op.gg/champions/akali/counters/mid?region=kr&tier=emerald_plus&target_champion=leblanc
akshan,Akshan,aurelionsol,Aurelion Sol,62.34,37.66,https://www.op.gg/champions/akshan/counters/mid?region=kr&tier=emerald_plus&target_champion=aurelionsol
akshan,Akshan,taliyah,Taliyah,59.77,40.23,https://www.op.gg/champions/akshan/counters/mid?region=kr&tier=emerald_plus&target_champion=taliyah
akshan,Akshan,kassadin,Kassadin,59.05,40.95,https://www.op.gg/champions/akshan/counters/mid?region=kr&tier=emerald_plus&target_champion=kassadin
