rank,championId,championName,winRate,pickRate,banRate,counter1Id,counter1Name,counter2Id,counter2Name,counter3Id,counter3Name
1,thresh,Thresh,52.17,13.64,10.41,taric,Taric,zyra,Zyra,amumu,Amumu
2,leona,Leona,52.17,7.2,6.21,tahmkench,Tahm Kench,taric,Taric,rell,Rell
3,braum,Braum,52.8,5.2,6.79,fiddlesticks,Fiddlesticks,jarvaniv,Jarvan IV,soraka,Soraka
4,senna,Senna,51.8,4.09,39.65,janna,Janna,hwei,Hwei,poppy,Poppy
5,nautilus,Nautilus,50.27,13.25,17.18,shen,Shen,skarner,Skarner,rell,Rell
6,seraphine,Seraphine,51.16,9.09,6.37,zilean,Zilean,zyra,Zyra,jarvaniv,Jarvan IV
7,rell,Rell,52.62,3.72,0.95,galio,Galio,amumu,Amumu,anivia,Anivia
8,blitzcrank,Blitzcrank,50.59,8.81,20.51,taric,Taric,rakan,Rakan,rell,Rell
9,poppy,Poppy,52.4,3.11,7.13,renata,Renata Glasc,galio,Galio,shaco,Shaco
10,pyke,Pyke,50.19,7.63,38.69,renata,Renata Glasc,amumu,Amumu,elise,Elise
11,camille,Camille,50.49,6.38,3.47,taric,Taric,braum,Braum,poppy,Poppy
12,bard,Bard,49.97,8.23,4.49,poppy,Poppy,rell,Rell,senna,Senna
13,alistar,Alistar,50.85,4.82,1.4,zilean,Zilean,zoe,Zoe,brand,Brand
14,lulu,Lulu,49.21,10.06,5.67,amumu,Amumu,zoe,Zoe,galio,Galio
15,rakan,Rakan,50.93,3.96,0.47,jarvaniv,Jarvan IV,poppy,Poppy,swain,Swain
16,lux,Lux,49.87,6.36,1.4,taric,Taric,janna,Janna,renata,Renata Glasc
17,tahmkench,Tahm Kench,51.69,2.11,0.39,elise,Elise,anivia,Anivia,skarner,Skarner
18,sylas,Sylas,50.4,2.34,27.61,poppy,Poppy,maokai,Maokai,taric,Taric
19,karma,Karma,48.21,9.39,9.39,fiddlesticks,Fiddlesticks,elise,Elise,skarner,Skarner
20,xerath,Xerath,49.25,4.76,10.14,janna,Janna,jarvaniv,Jarvan IV,leblanc,LeBlanc
21,zyra,Zyra,51.08,2.11,1.75,amumu,Amumu,elise,Elise,jarvaniv,Jarvan IV
22,zilean,Zilean,50.97,2.18,0.32,sylas,Sylas,elise,Elise,anivia,Anivia
23,elise,Elise,51.81,1.36,2.16,maokai,Maokai,morgana,Morgana,anivia,Anivia
24,pantheon,Pantheon,49.81,3.53,1.34,maokai,Maokai,fiddlesticks,Fiddlesticks,taric,Taric
25,morgana,Morgana,49.69,3.5,7.08,jarvaniv,Jarvan IV,pyke,Pyke,neeko,Neeko
26,taric,Taric,52.63,0.77,0.11,elise,Elise,zilean,Zilean,tahmkench,Tahm Kench
27,velkoz,Vel'Koz,50.38,2.21,0.5,elise,Elise,amumu,Amumu,janna,Janna
28,fiddlesticks,Fiddlesticks,52.68,0.68,0.42,velkoz,Vel'Koz,sylas,Sylas,poppy,Poppy
29,milio,Milio,49.09,3.87,0.6,fiddlesticks,Fiddlesticks,anivia,Anivia,poppy,Poppy
30,maokai,Maokai,50.41,1.9,0.17,taric,Taric,shen,Shen,jarvaniv,Jarvan IV
31,swain,Swain,49.99,2.17,0.71,amumu,Amumu,galio,Galio,janna,Janna
32,neeko,Neeko,49.46,2.64,1.98,sona,Sona,skarner,Skarner,maokai,Maokai
33,yuumi,Yuumi,47.42,6.58,10.2,amumu,Amumu,nautilus,Nautilus,thresh,Thresh
34,amumu,Amumu,51.91,0.76,0.09,rakan,Rakan,zilean,Zilean,braum,Braum
35,galio,Galio,50.93,1.08,2.76,neeko,Neeko,sona,Sona,pantheon,Pantheon
36,soraka,Soraka,49.29,2.47,0.16,janna,Janna,taric,Taric,hwei,Hwei
37,sona,Sona,50.36,1.23,0.06,janna,Janna,zyra,Zyra,braum,Braum
38,janna,Janna,50.35,0.88,0.05,maokai,Maokai,neeko,Neeko,rell,Rell
39,jarvaniv,Jarvan IV,49.92,0.94,0.57,galio,Galio,milio,Milio,alistar,Alistar
40,shen,Shen,49.67,0.89,0.23,neeko,Neeko,swain,Swain,rell,Rell
41,skarner,Skarner,49.27,1.06,0.25,velkoz,Vel'Koz,braum,Braum,maokai,Maokai
42,nami,Nami,47.88,2.05,0.18,elise,Elise,taric,Taric,maokai,Maokai
43,shaco,Shaco,47.52,1.7,19.27,zyra,Zyra,shen,Shen,swain,Swain
44,brand,Brand,48.28,1.4,0.75,zyra,Zyra,amumu,Amumu,camille,Camille
45,zoe,Zoe,49.32,0.66,7.03,braum,Braum,poppy,Poppy,zilean,Zilean
46,anivia,Anivia,48.97,0.81,2.66,maokai,Maokai,lux,Lux,camille,Camille
47,leblanc,LeBlanc,47.65,1.16,27.37,zyra,Zyra,rell,Rell,elise,Elise
48,hwei,Hwei,48.51,0.65,2.18,velkoz,Vel'Koz,camille,Camille,seraphine,Seraphine
49,renata,Renata Glasc,48.42,0.55,0.16,zilean,Zilean,lulu,Lulu,morgana,Morgana
50,mel,Mel,42.95,2.21,14.44,brand,Brand,pantheon,Pantheon,xerath,Xerath
