championId,championName,rank,targetChampionId,targetChampionName,laneKillRate,targetLaneKillRate,url
gangplank,Gangplank,1,vayne,Vayne,58.46,41.54,https://www.op.gg/champions/gangplank/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
gangplank,Gangplank,2,yone,Yone,56.85,43.15,https://www.op.gg/champions/gangplank/counters/top?region=kr&tier=emerald_plus&target_champion=yone
gangplank,Gangplank,3,singed,Singed,56.55,43.45,https://www.op.gg/champions/gangplank/counters/top?region=kr&tier=emerald_plus&target_champion=singed
malphite,Malphite,1,vayne,Vayne,78.37,21.63,https://www.op.gg/champions/malphite/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
malphite,Malphite,2,kayle,Kayle,74.3,25.7,https://www.op.gg/champions/malphite/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
malphite,Malphite,3,quinn,Quinn,71.22,28.78,https://www.op.gg/champions/malphite/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
singed,Singed,1,quinn,Quinn,55.05,44.95,https://www.op.gg/champions/singed/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
singed,Singed,2,yasuo,Yasuo,51.84,48.16,https://www.op.gg/champions/singed/counters/top?region=kr&tier=emerald_plus&target_champion=yasuo
singed,Singed,3,kayle,Kayle,49.56,50.44,https://www.op.gg/champions/singed/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
olaf,Olaf,1,quinn,Quinn,61.97,38.03,https://www.op.gg/champions/olaf/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
olaf,Olaf,2,kayle,Kayle,61.36,38.64,https://www.op.gg/champions/olaf/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
olaf,Olaf,3,teemo,Teemo,59.37,40.63,https://www.op.gg/champions/olaf/counters/top?region=kr&tier=emerald_plus&target_champion=teemo
jax,Jax,1,vayne,Vayne,61.29,38.71,https://www.op.gg/champions/jax/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
jax,Jax,2,kayle,Kayle,59.08,40.92,https://www.op.gg/champions/jax/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
jax,Jax,3,irelia,Irelia,58.72,41.28,https://www.op.gg/champions/jax/counters/top?region=kr&tier=emerald_plus&target_champion=irelia
garen,Garen,1,drmundo,Dr. Mundo,56.78,43.22,https://www.op.gg/champions/garen/counters/top?region=kr&tier=emerald_plus&target_champion=drmundo
garen,Garen,2,yone,Yone,54.68,45.32,https://www.op.gg/champions/garen/counters/top?region=kr&tier=emerald_plus&target_champion=yone
garen,Garen,3,vayne,Vayne,54.15,45.85,https://www.op.gg/champions/garen/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
irelia,Irelia,1,vayne,Vayne,60.55,39.45,https://www.op.gg/champions/irelia/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
irelia,Irelia,2,kayle,Kayle,59.25,40.75,https://www.op.gg/champions/irelia/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
irelia,Irelia,3,drmundo,Dr. Mundo,58.05,41.95,https://www.op.gg/champions/irelia/counters/top?region=kr&tier=emerald_plus&target_champion=drmundo
yone,Yone,1,kayle,Kayle,57.12,42.88,https://www.op.gg/champions/yone/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
yone,Yone,2,vayne,Vayne,54.19,45.81,https://www.op.gg/champions/yone/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
yone,Yone,3,ryze,Ryze,52.93,47.07,https://www.op.gg/champions/yone/counters/top?region=kr&tier=emerald_plus&target_champion=ryze
shen,Shen,1,quinn,Quinn,67.95,32.05,https://www.op.gg/champions/shen/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
shen,Shen,2,singed,Singed,64.86,35.14,https://www.op.gg/champions/shen/counters/top?region=kr&tier=emerald_plus&target_champion=singed
shen,Shen,3,vayne,Vayne,61.35,38.65,https://www.op.gg/champions/shen/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
jayce,Jayce,1,singed,Singed,61.51,38.49,https://www.op.gg/champions/jayce/counters/top?region=kr&tier=emerald_plus&target_champion=singed
jayce,Jayce,2,kayle,Kayle,56.9,43.1,https://www.op.gg/champions/jayce/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
jayce,Jayce,3,ryze,Ryze,55.6,44.4,https://www.op.gg/champions/jayce/counters/top?region=kr&tier=emerald_plus&target_champion=ryze
poppy,Poppy,1,riven,Riven,66.95,33.05,https://www.op.gg/champions/poppy/counters/top?region=kr&tier=emerald_plus&target_champion=riven
poppy,Poppy,2,kayle,Kayle,64.1,35.9,https://www.op.gg/champions/poppy/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
poppy,Poppy,3,heimerdinger,Heimerdinger,63.95,36.05,https://www.op.gg/champions/poppy/counters/top?region=kr&tier=emerald_plus&target_champion=heimerdinger
warwick,Warwick,1,gwen,Gwen,63.37,36.63,https://www.op.gg/champions/warwick/counters/top?region=kr&tier=emerald_plus&target_champion=gwen
warwick,Warwick,2,singed,Singed,61.25,38.75,https://www.op.gg/champions/warwick/counters/top?region=kr&tier=emerald_plus&target_champion=singed
warwick,Warwick,3,tahmkench,Tahm Kench,60.0,40.0,https://www.op.gg/champions/warwick/counters/top?region=kr&tier=emerald_plus&target_champion=tahmkench
yorick,Yorick,1,vladimir,Vladimir,63.4,36.6,https://www.op.gg/champions/yorick/counters/top?region=kr&tier=emerald_plus&target_champion=vladimir
yorick,Yorick,2,vayne,Vayne,63.04,36.96,https://www.op.gg/champions/yorick/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
yorick,Yorick,3,singed,Singed,62.45,37.55,https://www.op.gg/champions/yorick/counters/top?region=kr&tier=emerald_plus&target_champion=singed
aatrox,Aatrox,1,vayne,Vayne,62.36,37.64,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
aatrox,Aatrox,2,lissandra,Lissandra,61.2,38.8,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=lissandra
aatrox,Aatrox,3,quinn,Quinn,60.07,39.93,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
pantheon,Pantheon,1,vayne,Vayne,60.71,39.29,https://www.op.gg/champions/pantheon/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
pantheon,Pantheon,2,yone,Yone,60.39,39.61,https://www.op.gg/champions/pantheon/counters/top?region=kr&tier=emerald_plus&target_champion=yone
pantheon,Pantheon,3,jax,Jax,59.16,40.84,https://www.op.gg/champions/pantheon/counters/top?region=kr&tier=emerald_plus&target_champion=jax
darius,Darius,1,singed,Singed,63.25,36.75,https://www.op.gg/champions/darius/counters/top?region=kr&tier=emerald_plus&target_champion=singed
darius,Darius,2,yasuo,Yasuo,60.94,39.06,https://www.op.gg/champions/darius/counters/top?region=kr&tier=emerald_plus&target_champion=yasuo
darius,Darius,3,quinn,Quinn,60.08,39.92,https://www.op.gg/champions/darius/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
sion,Sion,1,vayne,Vayne,61.85,38.15,https://www.op.gg/champions/sion/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
sion,Sion,2,kayle,Kayle,60.51,39.49,https://www.op.gg/champions/sion/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
sion,Sion,3,quinn,Quinn,58.24,41.76,https://www.op.gg/champions/sion/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
teemo,Teemo,1,gwen,Gwen,64.22,35.78,https://www.op.gg/champions/teemo/counters/top?region=kr&tier=emerald_plus&target_champion=gwen
