championId,championName,targetChampionId,targetChampionName,laneKillRate,targetLaneKillRate,url
aatrox,Aatrox,vayne,Vayne,62.36,37.64,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
aatrox,Aatrox,lissandra,Lissandra,61.2,38.8,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=lissandra
aatrox,Aatrox,quinn,Quinn,60.07,39.93,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
aatrox,Aatrox,drmundo,Dr. Mundo,59.59,40.41,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=drmundo
aatrox,Aatrox,kayle,Kayle,59.21,40.79,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
aatrox,Aatrox,ryze,Ryze,58.63,41.37,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=ryze
aatrox,Aatrox,singed,Singed,58.52,41.48,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=singed
aatrox,Aatrox,nasus,Nasus,58.38,41.62,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=nasus
aatrox,Aatrox,gangplank,Gangplank,58.2,41.8,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=gangplank
aatrox,Aatrox,teemo,Teemo,57.5,42.5,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=teemo
aatrox,Aatrox,yone,Yone,57.41,42.59,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=yone
aatrox,Aatrox,sion,Sion,57.32,42.68,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=sion
aatrox,Aatrox,jayce,Jayce,56.13,43.87,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=jayce
aatrox,Aatrox,yasuo,Yasuo,56.03,43.97,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=yasuo
aatrox,Aatrox,anivia,Anivia,55.63,44.37,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=anivia
aatrox,Aatrox,gwen,Gwen,55.51,44.49,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=gwen
aatrox,Aatrox,illaoi,Illaoi,55.46,44.54,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=illaoi
aatrox,Aatrox,olaf,Olaf,54.7,45.3,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=olaf
aatrox,Aatrox,vladimir,Vladimir,54.53,45.47,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=vladimir
aatrox,Aatrox,urgot,Urgot,54.2,45.8,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=urgot
aatrox,Aatrox,garen,Garen,54.14,45.86,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=garen
aatrox,Aatrox,gnar,Gnar,53.9,46.1,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=gnar
aatrox,Aatrox,zaahen,Zaahen,53.77,46.23,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=zaahen
aatrox,Aatrox,volibear,Volibear,53.49,46.51,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=volibear
aatrox,Aatrox,darius,Darius,53.15,46.85,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=darius
aatrox,Aatrox,sett,Sett,52.91,47.09,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=sett
aatrox,Aatrox,heimerdinger,Heimerdinger,52.69,47.31,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=heimerdinger
aatrox,Aatrox,tryndamere,Tryndamere,52.33,47.67,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=tryndamere
aatrox,Aatrox,riven,Riven,52.15,47.85,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=riven
aatrox,Aatrox,camille,Camille,52.1,47.9,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=camille
aatrox,Aatrox,irelia,Irelia,51.64,48.36,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=irelia
aatrox,Aatrox,jax,Jax,51.36,48.64,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=jax
aatrox,Aatrox,fiora,Fiora,51.28,48.72,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=fiora
aatrox,Aatrox,shen,Shen,51.07,48.93,https://www.op.gg/champions/aatrox/counters/top?region=kr&tier=emerald_plus&target_champion=shen
